Id,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
156,Castlemaine,AU,-37.0667,144.2167,2021-04-18 15:29:34,broken clouds,52.0,52,2.19,78,0,0
157,Maniitsoq,GL,65.4167,-52.9,2021-04-18 15:29:34,overcast clouds,17.1,58,14.0,98,0,0
158,Makkah al Mukarramah,SA,21.4267,39.8261,2021-04-18 15:29:34,scattered clouds,90.34,31,3.33,33,0,0
159,Ambovombe,MG,-25.1667,46.0833,2021-04-18 15:29:35,clear sky,67.5,61,18.01,8,0,0
160,Cascavel,BR,-24.9558,-53.4553,2021-04-18 15:27:32,clear sky,75.2,57,5.75,0,0,0
161,Mwingi,KE,-0.9344,38.0601,2021-04-18 15:29:35,broken clouds,73.11,70,7.76,67,0,0
162,Yulara,AU,-25.2406,130.9889,2021-04-18 15:29:36,clear sky,60.8,41,8.05,0,0,0
163,Vilyuysk,RU,63.7553,121.6247,2021-04-18 15:29:37,overcast clouds,-2.52,99,3.69,92,0,0
164,Reconquista,AR,-29.15,-59.65,2021-04-18 15:29:37,clear sky,78.31,60,8.1,0,0,0
165,Karratha,AU,-20.7377,116.8463,2021-04-18 15:29:37,clear sky,81.55,54,4.97,0,0,0
166,Kaitangata,NZ,-46.2817,169.8464,2021-04-18 15:29:38,broken clouds,59.0,47,17.0,56,0,0
167,Zhezkazgan,KZ,47.8043,67.7144,2021-04-18 15:29:38,overcast clouds,58.95,50,5.3,96,0,0
168,Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,2021-04-18 15:29:39,clear sky,60.01,85,1.01,0,0,0
169,Katherine,AU,-14.4667,132.2667,2021-04-18 15:29:39,overcast clouds,68.0,68,2.3,90,0,0
170,Scarborough,GB,54.2797,-0.4044,2021-04-18 15:26:46,scattered clouds,54.0,52,4.0,28,0,0
171,Akureyri,IS,65.6835,-18.0878,2021-04-18 15:29:40,scattered clouds,44.6,39,11.5,40,0,0
172,Ribeira Grande,PT,38.5167,-28.7,2021-04-18 15:29:40,few clouds,66.2,77,11.5,20,0,0
173,Bredasdorp,ZA,-34.5322,20.0403,2021-04-18 15:29:40,clear sky,80.6,17,12.66,7,0,0
174,Itamaracá,BR,-7.7478,-34.8256,2021-04-18 15:29:41,mist,75.2,83,6.91,75,0,0
175,Oro Valley,US,32.3909,-110.9665,2021-04-18 15:29:41,clear sky,68.0,31,5.01,0,0,0
176,Poum,NC,-20.2333,164.0167,2021-04-18 15:29:42,scattered clouds,77.32,76,7.52,38,0,0
177,Blomberg,DE,51.9433,9.0907,2021-04-18 15:29:42,overcast clouds,59.0,55,4.61,99,0,0
178,Fortuna,US,40.5982,-124.1573,2021-04-18 15:29:42,overcast clouds,44.6,100,4.61,90,0,0
179,Kinsale,IE,51.7075,-8.5306,2021-04-18 15:29:02,light intensity drizzle,48.2,87,10.36,75,0,0
180,Powell River,CA,49.8496,-124.5361,2021-04-18 15:29:43,few clouds,59.0,81,1.32,20,0,0
181,Purranque,CL,-40.9167,-73.1667,2021-04-18 15:29:43,broken clouds,60.8,84,13.8,75,0,0
182,São João da Barra,BR,-21.6403,-41.0511,2021-04-18 15:29:44,few clouds,86.0,51,13.8,20,0,0
183,Tual,ID,-5.6667,132.75,2021-04-18 15:29:44,overcast clouds,80.44,77,5.93,100,0,0
184,Shumskiy,RU,54.8318,99.1328,2021-04-18 15:29:45,overcast clouds,26.51,97,2.39,100,0,0
185,Businga,CD,3.3333,20.8833,2021-04-18 15:29:45,overcast clouds,92.7,41,2.04,85,0,0
186,Lebu,CL,-37.6167,-73.65,2021-04-18 15:29:45,broken clouds,59.13,70,10.07,76,0,0
187,Bermejillo,MX,25.8833,-103.6167,2021-04-18 15:29:46,clear sky,61.0,59,10.29,1,0,0
188,Mossamedes,AO,-15.1961,12.1522,2021-04-18 15:29:46,few clouds,89.6,58,14.97,20,0,0
189,Bibiani,GH,6.4635,-2.3194,2021-04-18 15:29:47,overcast clouds,96.62,35,2.19,95,0,0
190,New Norfolk,AU,-42.7826,147.0587,2021-04-18 15:29:47,overcast clouds,54.0,74,4.0,100,0,0
191,Caravelas,BR,-17.7125,-39.2481,2021-04-18 15:29:47,scattered clouds,84.51,57,8.21,38,0,0
192,Chokurdakh,RU,70.6333,147.9167,2021-04-18 15:29:48,overcast clouds,13.1,92,17.11,100,0,0
193,San Martín,AR,-33.081,-68.4681,2021-04-18 15:29:48,clear sky,75.2,57,5.75,0,0,0
194,Faanui,PF,-16.4833,-151.75,2021-04-18 15:29:49,clear sky,81.84,72,10.8,9,0,0
195,Clyde River,CA,70.4692,-68.5914,2021-04-18 15:29:49,overcast clouds,6.8,85,10.36,90,0,0
196,Bungu,TZ,-7.6337,39.0582,2021-04-18 15:29:49,light rain,73.36,92,4.45,93,0,0
197,Kumul,CN,42.8,93.45,2021-04-18 15:29:50,scattered clouds,66.81,19,16.46,25,0,0
198,Ongandjera,NA,-17.8833,15.0667,2021-04-18 15:29:50,clear sky,85.78,22,10.87,1,0,0
199,Talnakh,RU,69.4865,88.3972,2021-04-18 15:29:51,scattered clouds,-15.88,93,2.66,27,0,0
200,Morro Bay,US,35.3658,-120.8499,2021-04-18 15:25:36,fog,48.2,100,4.74,90,0,0
201,Kumluca,TR,36.3703,30.2869,2021-04-18 15:29:51,overcast clouds,74.44,45,1.25,85,0,0
202,Port Augusta,AU,-32.5,137.7667,2021-04-18 15:29:52,overcast clouds,51.8,87,5.75,100,0,0
203,Mandan,US,46.8267,-100.8896,2021-04-18 15:29:52,few clouds,48.2,65,28.77,20,0,0
204,San Fernando,PH,15.0286,120.6898,2021-04-18 15:29:53,broken clouds,82.4,74,4.61,75,0,0
205,Sioux Lookout,CA,50.1001,-91.917,2021-04-18 15:29:53,snow,33.8,86,9.22,90,0,0
206,Narsaq,GL,60.9167,-46.05,2021-04-18 15:29:54,few clouds,30.2,27,6.91,22,0,0
207,Karpogory,RU,64.0019,44.4451,2021-04-18 15:29:54,scattered clouds,36.88,42,4.16,33,0,0
208,Gigmoto,PH,13.7796,124.39,2021-04-18 15:29:55,heavy intensity rain,79.09,91,34.38,100,0,0
209,Novoye Leushino,RU,56.8073,40.5144,2021-04-18 15:29:55,overcast clouds,51.31,54,12.84,97,0,0
210,Cidreira,BR,-30.1811,-50.2056,2021-04-18 15:29:56,few clouds,73.26,78,8.43,15,0,0
211,Ilo,PE,-17.6394,-71.3375,2021-04-18 15:29:56,broken clouds,70.03,72,6.78,63,0,0
212,Esperance,AU,-33.8667,121.9,2021-04-18 15:29:56,clear sky,57.2,82,8.05,0,0,0
213,Povenets,RU,62.8487,34.8262,2021-04-18 15:29:57,broken clouds,42.55,74,6.2,63,0,0
214,Coquimbo,CL,-29.9533,-71.3436,2021-04-18 15:27:20,overcast clouds,57.2,88,2.3,90,0,0
215,Shakawe,BW,-18.3667,21.85,2021-04-18 15:29:57,clear sky,80.82,29,9.53,0,0,0
216,Pangnirtung,CA,66.1451,-65.7125,2021-04-18 15:29:58,broken clouds,15.03,72,2.28,67,0,0
217,Aripuanã,BR,-9.1667,-60.6333,2021-04-18 15:29:58,overcast clouds,73.8,94,2.21,100,0,0
218,Richards Bay,ZA,-28.783,32.0377,2021-04-18 15:28:16,clear sky,73.22,62,14.99,0,0,0
219,Comodoro Rivadavia,AR,-45.8667,-67.5,2021-04-18 15:29:59,clear sky,64.4,45,8.05,0,0,0
220,Taunggyi,MM,20.7833,97.0333,2021-04-18 15:29:59,few clouds,67.89,46,0.98,20,0,0
221,Atar,MR,20.5169,-13.0499,2021-04-18 15:30:00,clear sky,93.2,12,9.22,0,0,0
222,Sorong,ID,-0.8833,131.25,2021-04-18 15:29:14,overcast clouds,78.8,84,3.89,94,0,0
223,Souillac,MU,-20.5167,57.5167,2021-04-18 15:30:00,light rain,75.2,94,16.11,75,0,0
224,Adrar,MR,20.5022,-10.0711,2021-04-18 15:30:01,clear sky,94.46,6,9.42,0,0,0
225,Ligayan,PH,4.6533,119.4706,2021-04-18 15:30:01,overcast clouds,82.38,75,9.82,90,0,0
226,Santa Maria da Vitória,BR,-13.3947,-44.1886,2021-04-18 15:30:02,overcast clouds,93.7,29,1.16,94,0,0
227,Kahului,US,20.8947,-156.47,2021-04-18 15:28:13,moderate rain,69.8,94,5.75,90,0,0
228,La Santisima Trinidad,BO,-14.8333,-64.9,2021-04-18 15:30:02,scattered clouds,83.66,74,3.98,47,0,0
229,Vao,NC,-22.6667,167.4833,2021-04-18 15:30:03,broken clouds,76.15,80,16.26,80,0,0
